"Result ID","Start Time ","Last Seen ","Duration ","Batch","Worker ID ","Worker Type ","MTurk Worker ID (Confirmation Code) ","State ","Message "
"511","2020/11/28 14:58:23","2020/11/28 15:16:27","00:18:11","Default","869","Personal Multiple","none(none)","FINISHED","none"
"501","2020/11/28 10:59:00","2020/11/28 11:17:12","00:18:13","Default","864","Personal Multiple","none(none)","FINISHED","none"
"496","2020/11/28 08:26:02","2020/11/28 08:44:03","00:18:14","Default","853","Personal Multiple","none(none)","FINISHED","none"
"503","2020/11/28 11:02:55","2020/11/28 11:21:10","00:18:15 (not finished yet)","Default","863","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"870","2020/12/13 10:00:21","2020/12/13 10:18:22","00:18:26","ELTE-krajcsi","1985","Personal Multiple","none(none)","FINISHED","none"
"779","2020/12/09 14:57:38","2020/12/09 15:15:40","00:18:26","ELTE-krajcsi","1963","Personal Multiple","none(none)","FINISHED","none"
"576","2020/12/03 09:03:14","2020/12/03 09:21:16","00:18:26","Default","905","Personal Multiple","none(none)","FINISHED","none"
"504","2020/11/28 11:04:53","2020/11/28 11:22:54","00:18:30","Default","863","Personal Multiple","none(none)","FINISHED","none"
"795","2020/12/09 19:27:04","2020/12/09 19:45:05","00:18:36","ELTE-krajcsi","1969","Personal Multiple","none(none)","FINISHED","none"
"558","2020/12/01 19:13:47","2020/12/01 19:31:49","00:18:37","Default","900","Personal Multiple","none(none)","FINISHED","none"
"863","2020/12/12 18:04:42","2020/12/12 18:22:44","00:18:40","ELTE-krajcsi","1984","Personal Multiple","none(none)","FINISHED","none"
"884","2020/12/16 12:20:28","2020/12/16 12:38:30","00:18:42","ELTE-krajcsi","1991","Personal Multiple","none(none)","FINISHED","none"
"773","2020/12/09 11:11:55","2020/12/09 11:29:56","00:18:42","ELTE-krajcsi","1960","Personal Multiple","none(none)","FINISHED","none"
"520","2020/11/28 21:21:57","2020/11/28 21:39:58","00:18:48","Default","877","Personal Multiple","none(none)","FINISHED","none"
"840","2020/12/11 09:48:17","2020/12/11 10:06:18","00:18:50","ELTE-krajcsi","1976","Personal Multiple","none(none)","FINISHED","none"
"819","2020/12/10 14:35:38","2020/12/10 14:53:41","00:18:53","Default","914","Personal Multiple","none(none)","FINISHED","none"
"526","2020/11/30 12:00:02","2020/11/30 12:18:03","00:18:55","Default","885","Personal Multiple","none(none)","FINISHED","none"
"552","2020/12/01 10:31:12","2020/12/01 10:49:13","00:18:57","Default","895","Personal Multiple","none(none)","FINISHED","none"
"590","2020/12/04 14:59:04","2020/12/04 15:17:05","00:18:59","Default","908","Personal Multiple","none(none)","FINISHED","none"
"578","2020/12/03 10:05:50","2020/12/03 10:23:57","00:18:59","Default","906","Personal Multiple","none(none)","FINISHED","none"
"498","2020/11/28 10:30:38","2020/11/28 10:48:39","00:18:59","Default","858","Personal Multiple","none(none)","FINISHED","none"
"790","2020/12/09 16:17:25","2020/12/09 16:35:27","00:19:02","ELTE-krajcsi","1966","Personal Multiple","none(none)","FINISHED","none"
"519","2020/11/28 20:00:37","2020/11/28 20:18:38","00:19:02","Default","878","Personal Multiple","none(none)","FINISHED","none"
