"datetime","response","response_time","stim","total_responses","workerId","count_test_stimpres","response_test_response","response_time_test_response","st_corr","type","tq"
"Fri May 15 2020 08","right","2684","prototype2.png","21","1734",NA,NA,NA,0,"prototype","x"
"Fri May 15 2020 08","left","1651","p4sarrcol2.png","22","1734",NA,NA,NA,0,"sarrcol","x"
"Fri May 15 2020 08","right","1578","p5sarrshacol1.png","23","1734",NA,NA,NA,1,"sarrshacol","x"
"Fri May 15 2020 08","left","1166","prototype2.png","24","1734",NA,NA,NA,1,"prototype","x"
"Fri May 15 2020 08","left","2067","p4sarrsha2.png","25","1734",NA,NA,NA,0,"sarrsha","x"
"Fri May 15 2020 08","left","923","p9sarr1.png","26","1734",NA,NA,NA,0,"diffarr","x"
"Fri May 15 2020 08","left","2033","prototype1.png","27","1734",NA,NA,NA,1,"prototype","x"
"Fri May 15 2020 08","right","2240","p4sarrcol1.png","28","1734",NA,NA,NA,1,"sarrcol","x"
"Fri May 15 2020 08","right","2303","prototype4.png","29","1734",NA,NA,NA,0,"prototype","x"
"Fri May 15 2020 08","left","2735","prototype5.png","30","1734",NA,NA,NA,1,"prototype","x"
"Fri May 15 2020 08","right","1291","p5sarrcol2.png","31","1734",NA,NA,NA,1,"sarrcol","x"
"Fri May 15 2020 08","right","1873","p2sarrsha2.png","32","1734",NA,NA,NA,1,"sarrsha","x"
"Fri May 15 2020 08","right","1438","p5sarr1.png","33","1734",NA,NA,NA,1,"sarr","x"
"Fri May 15 2020 08","left","1430","p3sarrshacol1.png","34","1734",NA,NA,NA,0,"sarrshacol","x"
"Fri May 15 2020 08","right","1951","prototype1.png","35","1734",NA,NA,NA,0,"prototype","x"
"Fri May 15 2020 08","right","1256","p4sarrshacol1.png","36","1734",NA,NA,NA,1,"sarrshacol","x"
"Fri May 15 2020 08","right","1043","prototype3.png","37","1734",NA,NA,NA,0,"prototype","x"
"Fri May 15 2020 08","right","1464","prototype3.png","38","1734",NA,NA,NA,0,"prototype","x"
"Fri May 15 2020 08","right","1350","p7sarr1.png","39","1734",NA,NA,NA,1,"diffarr","x"
"Fri May 15 2020 08","left","1559","p1sarrsha1.png","40","1734",NA,NA,NA,0,"sarrsha","x"
"Fri May 15 2020 08","None","3012","prototype5.png","41","1734",NA,NA,NA,0,"prototype","x"
"Fri May 15 2020 08","right","1445","p3sarrshacol2.png","42","1734",NA,NA,NA,1,"sarrshacol","x"
"Fri May 15 2020 08","right","808","p3sarrcol2.png","43","1734",NA,NA,NA,1,"sarrcol","x"
"Fri May 15 2020 08","left","1487","p3sarr2.png","44","1734",NA,NA,NA,0,"sarr","x"
"Fri May 15 2020 08","right","1377","p2sarrsha1.png","45","1734",NA,NA,NA,1,"sarrsha","x"
"Fri May 15 2020 08","right","1307","p4sarrsha1.png","46","1734",NA,NA,NA,1,"sarrsha","x"
"Fri May 15 2020 08","right","898","p1sarrcol1.png","47","1734",NA,NA,NA,1,"sarrcol","x"
"Fri May 15 2020 08","right","1943","p1sarrsha2.png","48","1734",NA,NA,NA,1,"sarrsha","x"
"Fri May 15 2020 08","right","2889","p7sarr2.png","49","1734",NA,NA,NA,1,"diffarr","x"
"Fri May 15 2020 08","None","3003","p4sarr1.png","50","1734",NA,NA,NA,0,"sarr","x"
"Fri May 15 2020 08","None","3009","p10sarr1.png","51","1734",NA,NA,NA,0,"diffarr","x"
"Fri May 15 2020 08","right","1046","prototype3.png","52","1734",NA,NA,NA,0,"prototype","x"
