"","datetime","response","response_time","stim","total_responses","workerId","count_test_stimpres","response_test_response","response_time_test_response","st_corr","type","tq","DTF","DTAF","DTAN","DTN_byPhase","stimpresseq","DTPPm","DTPPsd"
"52","Sat May 16 2020 18","left",1666,"prototype3.png",53,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,52,11.4935064935065,6.2103974290645
"53","Sat May 16 2020 18","right",1390,"p1sarr1.png",54,"1761",NA,NA,NA,1,"sarr","x",8,13.8,13.7894736842105,14.3333333333333,53,14.4871794871795,4.06679167634568
"54","Sat May 16 2020 18","right",1098,"p1sarrcol2.png",55,"1761",NA,NA,NA,1,"sarrcol","x",3,12.8,13.8421052631579,14.4444444444444,54,13.746835443038,4.9625994905234
"55","Sat May 16 2020 18","right",2569,"p2sarrcol2.png",56,"1761",NA,NA,NA,1,"sarrcol","x",2,9.8,10.7894736842105,11,55,11.2,4.13199924026118
"56","Sat May 16 2020 18","left",1322,"prototype4.png",57,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,56,11.6049382716049,5.70674822544696
"57","Sat May 16 2020 18","right",973,"p2sarrshacol1.png",58,"1761",NA,NA,NA,1,"sarrshacol","x",2,9.4,9.8421052631579,10.4444444444444,57,10.8658536585366,4.18628623867826
"58","Sat May 16 2020 18","left",1727,"prototype5.png",59,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,58,10.8192771084337,5.45747323449243
"59","Sat May 16 2020 18","right",1296,"prototype2.png",60,"1761",NA,NA,NA,0,"prototype","x",0,0,0,0,59,10.6309523809524,4.55959140503156
"60","Sat May 16 2020 18","left",2247,"prototype5.png",61,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,60,10.6941176470588,5.51841835823188
"61","Sat May 16 2020 18","right",1190,"p1sarrshacol2.png",62,"1761",NA,NA,NA,1,"sarrshacol","x",3,12.8,13.3684210526316,13.7777777777778,61,13.6627906976744,5.02841447380614
"62","Sat May 16 2020 18","right",1421,"p2sarrcol1.png",63,"1761",NA,NA,NA,1,"sarrcol","x",2,10.4,10.5263157894737,11.2222222222222,62,11.3563218390805,4.26989736681365
"63","Sat May 16 2020 18","right",1030,"p5sarr2.png",64,"1761",NA,NA,NA,1,"sarr","x",10,13,12.5263157894737,13.3333333333333,63,13.1931818181818,2.97830451862173
"64","Sat May 16 2020 18","right",914,"p10sarr2.png",65,"1761",NA,NA,NA,1,"diffarr","x",17,17.2,14.9473684210526,15.2222222222222,64,16.8876404494382,2.85417637477876
"65","Sat May 16 2020 18","right",2887,"prototype1.png",66,"1761",NA,NA,NA,0,"prototype","x",0,0,0,0,65,13.4,5.68024370421955
"66","Sat May 16 2020 18","left",936,"prototype4.png",67,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,66,11.6483516483516,5.61619409757499
"67","Sat May 16 2020 18","right",930,"p2sarrshacol2.png",68,"1761",NA,NA,NA,1,"sarrshacol","x",3,9.6,9.78947368421053,10.2222222222222,67,10.75,4.05355630049944
"68","Sat May 16 2020 18","right",876,"p1sarr2.png",69,"1761",NA,NA,NA,1,"sarr","x",8,14.2,14.3684210526316,14.7777777777778,68,14.4301075268817,4.0416253980147
"69","Sat May 16 2020 18","right",998,"p6sarr2.png",70,"1761",NA,NA,NA,1,"diffarr","x",12,16.2,17.6315789473684,17.8888888888889,69,16.3297872340426,3.8279905671515
"70","Sat May 16 2020 18","right",852,"prototype2.png",71,"1761",NA,NA,NA,0,"prototype","x",0,0,0,0,70,10.5052631578947,4.63537205973144
"71","Sat May 16 2020 18","right",914,"p1sarrshacol1.png",72,"1761",NA,NA,NA,1,"sarrshacol","x",5,13.2,13.3684210526316,13.8888888888889,71,13.5833333333333,4.6172825607292
"72","Sat May 16 2020 18","right",1319,"prototype1.png",73,"1761",NA,NA,NA,0,"prototype","x",0,0,0,0,72,13.1134020618557,5.73889559762263
"73","Sat May 16 2020 18","left",1549,"prototype5.png",74,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,73,11.0204081632653,5.49785261141474
"74","Sat May 16 2020 18","left",1175,"prototype3.png",75,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,74,11.9191919191919,5.8583217762615
"75","Sat May 16 2020 18","right",2227,"prototype2.png",76,"1761",NA,NA,NA,0,"prototype","x",0,0,0,0,75,10.44,4.64349224205449
"76","Sat May 16 2020 18","right",2843,"p5sarrsha3.png",77,"1761",0,"right",2843,0,"sarrsha","new",5,10,10.8421052631579,11.2222222222222,76,11.1782178217822,4.24121689990965
"77","Sat May 16 2020 18","down",1828,"p2sarrshacol1.png",78,"1761",1,"down",1828,0,"sarrshacol","fam",2,9.4,9.8421052631579,10.4444444444444,77,10.4607843137255,4.38194217220442
"78","Sat May 16 2020 18","left",1854,"p4sarr4.png",79,"1761",2,"left",1854,0,"sarr","new",9,13.6,13.0526315789474,13.2222222222222,78,13.7766990291262,3.74147931013073
"79","Sat May 16 2020 18","down",1759,"p5sarrsha2.png",80,"1761",3,"down",1759,0,"sarrsha","fam",4,10.8,10.8947368421053,11.2222222222222,79,11.5480769230769,4.6714996400759
"80","Sat May 16 2020 18","left",2837,"p7sarr2.png",81,"1761",4,"left",2837,0,"diffarr","fam",15,16.4,15.7894736842105,16.3333333333333,80,16.3904761904762,3.40953199499703
"81","Sat May 16 2020 18","right",1514,"p1sarrsha4.png",82,"1761",5,"right",1514,0,"sarrsha","new",4,12.6,13.3157894736842,13.8888888888889,81,13.1792452830189,4.6430637869557
"82","Sat May 16 2020 18","None",3008,"p3sarrcol2.png",83,"1761",6,"None",3008,0,"sarrcol","fam",3,12,12.2631578947368,12.7777777777778,82,12.9906542056075,5.13863524775663
"83","Sat May 16 2020 18","left",1044,"p3sarrcol3.png",84,"1761",7,"left",1044,0,"sarrcol","new",2,11.4,12.2105263157895,12.6666666666667,83,12.5092592592593,5.64278609909979
"84","Sat May 16 2020 18","left",1752,"p1sarrsha1.png",85,"1761",8,"left",1752,0,"sarrsha","fam",4,13,13.2105263157895,13.8888888888889,84,13.4128440366972,5.03361112032261
"85","Sat May 16 2020 18","down",1615,"p4sarr1.png",86,"1761",9,"down",1615,0,"sarr","fam",6,12,12.7368421052632,13.2222222222222,85,12.5818181818182,4.22396356796784
"86","Sat May 16 2020 18","right",1101,"p9sarr2.png",87,"1761",10,"right",1101,0,"diffarr","fam",15,21,15.2105263157895,15.8888888888889,86,20.2882882882883,4.62873905348154
"87","Sat May 16 2020 18","left",1849,"p1sarr2.png",88,"1761",11,"left",1849,0,"sarr","fam",8,14.2,14.3684210526316,14.7777777777778,87,14.2410714285714,4.2685641945671
"88","Sat May 16 2020 18","left",1636,"p3sarrcol4.png",89,"1761",12,"left",1636,0,"sarrcol","new",2,10.8,12.4736842105263,13.4444444444444,88,12.2212389380531,5.48330992531352
"89","Sat May 16 2020 18","right",2276,"p2sarrshacol2.png",90,"1761",13,"right",2276,0,"sarrshacol","fam",3,9.6,9.78947368421053,10.2222222222222,89,10.6929824561404,4.21150382613688
"90","Sat May 16 2020 18","down",1702,"p6sarr1.png",91,"1761",14,"down",1702,0,"diffarr","fam",11,17.2,18.1578947368421,18.3333333333333,90,16.8260869565217,4.37949942978991
"91","Sat May 16 2020 18","right",1945,"p4sarrshacol3.png",92,"1761",15,"right",1945,0,"sarrshacol","new",4,11.8,11.8947368421053,12.6666666666667,91,12.5431034482759,4.45536753254711
"92","Sat May 16 2020 18","right",2365,"p4sarrshacol4.png",93,"1761",16,"right",2365,0,"sarrshacol","new",3,11.2,11.7368421052632,12.2222222222222,92,12.1452991452991,4.88005256695995
"93","Sat May 16 2020 18","right",1505,"p2sarrcol1.png",94,"1761",17,"right",1505,0,"sarrcol","fam",2,10.4,10.5263157894737,11.2222222222222,93,11.2881355932203,4.35811786968557
"94","Sat May 16 2020 18","right",1193,"p1sarr4.png",95,"1761",18,"right",1193,0,"sarr","new",8,13.4,14.6315789473684,15.1111111111111,94,13.781512605042,3.86457107025387
"95","Sat May 16 2020 18","left",1570,"p10sarr1.png",96,"1761",19,"left",1570,0,"diffarr","fam",18,17.6,14.8421052631579,14.7777777777778,95,17.0083333333333,3.28862524809516
"96","Sat May 16 2020 18","right",1010,"p8sarr3.png",97,"1761",20,"right",1010,0,"diffarr","new",22,18.2,15.2631578947368,15.6666666666667,96,17.7768595041322,3.31784971355893
"97","Sat May 16 2020 18","right",1291,"p9sarr4.png",98,"1761",21,"right",1291,0,"diffarr","new",14,20.6,15.3684210526316,15.8888888888889,97,19.7459016393443,4.59888861063792
"98","Sat May 16 2020 18","left",1825,"p5sarrcol2.png",99,"1761",22,"left",1825,0,"sarrcol","fam",4,11.2,11.5263157894737,11.8888888888889,98,12.2682926829268,4.52510876734002
"99","Sat May 16 2020 18","right",1880,"p7sarr4.png",100,"1761",23,"right",1880,0,"diffarr","new",17,18,15.9473684210526,16.3333333333333,99,17.4435483870968,2.94475534714689
"100","Sat May 16 2020 18","right",1350,"p3sarrsha3.png",101,"1761",24,"right",1350,0,"sarrsha","new",3,11.2,11.3684210526316,12.2222222222222,100,12.8,5.37467178292717
"101","Sat May 16 2020 18","right",2065,"p8sarr4.png",102,"1761",25,"right",2065,0,"diffarr","new",22,18.8,15.1052631578947,15.6666666666667,101,18,3.39882332579968
"102","Sat May 16 2020 18","right",1720,"p2sarrshacol4.png",103,"1761",26,"right",1720,0,"sarrshacol","new",4,10.2,10,10.3333333333333,102,11.4488188976378,4.18938314476109
"103","Sat May 16 2020 18","left",2015,"p4sarrshacol1.png",104,"1761",27,"left",2015,0,"sarrshacol","fam",3,11.4,12.0526315789474,12.6666666666667,103,12.484375,4.69877580806833
"104","Sat May 16 2020 18","right",2166,"p1sarrshacol3.png",105,"1761",28,"right",2166,0,"sarrshacol","new",4,13,13.4736842105263,14.1111111111111,104,13.5736434108527,4.79546529578734
"105","Sat May 16 2020 18","down",2349,"p2sarrsha1.png",106,"1761",29,"down",2349,0,"sarrsha","fam",4,9.8,9.63157894736842,10,105,11.0230769230769,4.20310956245932
"106","Sat May 16 2020 18","right",1189,"p3sarr2.png",107,"1761",30,"right",1189,0,"sarr","fam",5,12.2,13.8421052631579,14.2222222222222,106,13.6106870229008,5.17177624461546
"107","Sat May 16 2020 18","right",1185,"p3sarrshacol3.png",108,"1761",31,"right",1185,0,"sarrshacol","new",5,11.6,11.6315789473684,12.1111111111111,107,12.9318181818182,5.10678815094167
"108","Sat May 16 2020 18","down",2208,"p2sarrcol4.png",109,"1761",32,"down",2208,0,"sarrcol","new",2,10.4,10.4736842105263,10.8888888888889,108,11.5187969924812,4.64595213805327
"109","Sat May 16 2020 18","right",2048,"p5sarrcol1.png",110,"1761",33,"right",2048,0,"sarrcol","fam",3,10.6,11.6842105263158,12.1111111111111,109,12.1119402985075,4.68024234280516
"110","Sat May 16 2020 18","right",1522,"p8sarr2.png",111,"1761",34,"right",1522,0,"diffarr","fam",21,18.6,15.2631578947368,15.2222222222222,110,17.8814814814815,3.41212030166181
"111","Sat May 16 2020 18","right",2922,"p5sarr3.png",112,"1761",35,"right",2922,0,"sarr","new",7,11.6,12.0526315789474,12.5555555555556,111,12.4485294117647,3.89457334313458
"112","Sat May 16 2020 18","left",2379,"p7sarr1.png",113,"1761",36,"left",2379,0,"diffarr","fam",17,17.8,15.8421052631579,16.8888888888889,112,17.1386861313869,3.26789751115441
"113","Sat May 16 2020 18","right",2407,"p1sarrcol4.png",114,"1761",37,"right",2407,0,"sarrcol","new",5,14,13.8421052631579,14.4444444444444,113,14.4130434782609,4.37599333602417
"114","Sat May 16 2020 18","None",3014,"p3sarrsha4.png",115,"1761",38,"None",3014,0,"sarrsha","new",4,11.6,11.6842105263158,12,114,13.0071942446043,5.27297787724163
"115","Sat May 16 2020 18","right",1822,"p3sarr1.png",116,"1761",39,"right",1822,0,"sarr","fam",7,12.6,13.4210526315789,13.4444444444444,115,13.6071428571429,4.92051414019973
"116","Sat May 16 2020 18","right",1900,"p2sarrsha3.png",117,"1761",40,"right",1900,0,"sarrsha","new",5,10,9.8421052631579,10.4444444444444,116,11.1560283687943,4.0905530327176
"117","Sat May 16 2020 18","right",1440,"p9sarr3.png",118,"1761",41,"right",1440,0,"diffarr","new",17,21.6,15.1578947368421,15.2222222222222,117,20.5140845070423,4.23885424686215
