"batchId","batchTitle","count_study_sequence","count_test_sequence","datetime","response","response_study_response","response_test_response","response_time","response_time_study_response","response_time_test_response","stim","studyResultId","workerId","type","tq","DTF","DTAF","DTAN","DTN_byPhase","DTN"
30,"krajcsi",37,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",2086,2086,NA,"prototype3.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",38,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",782,782,NA,"p7sarr1.png",514,"1761","diffarr","study",17,17.8,15.8421052631579,16.8888888888889,17.1919191919192
30,"krajcsi",39,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1731,1731,NA,"p1sarrsha1.png",514,"1761","sarrsha","study",4,13,13.2105263157895,13.8888888888889,14.0505050505051
30,"krajcsi",40,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",2419,2419,NA,"prototype5.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",41,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1615,1615,NA,"p3sarrshacol2.png",514,"1761","sarrshacol","study",3,11.4,11.4736842105263,11.8888888888889,13.7777777777778
30,"krajcsi",42,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","left","",1741,1741,NA,"p3sarrcol2.png",514,"1761","sarrcol","study",3,12,12.2631578947368,12.7777777777778,14.2424242424242
30,"krajcsi",43,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1750,1750,NA,"p3sarr2.png",514,"1761","sarr","study",5,12.2,13.8421052631579,14.2222222222222,14.4848484848485
30,"krajcsi",44,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1755,1755,NA,"p2sarrsha1.png",514,"1761","sarrsha","study",4,9.8,9.63157894736842,10,11.969696969697
30,"krajcsi",45,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1517,1517,NA,"p4sarrsha1.png",514,"1761","sarrsha","study",5,11.8,12.2105263157895,12.6666666666667,13.4848484848485
30,"krajcsi",46,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",1213,1213,NA,"p1sarrcol1.png",514,"1761","sarrcol","study",4,13,13.5789473684211,14.1111111111111,14.2020202020202
