"","count_study_sequence","count_test_sequence","datetime","response","response_study_response","response_test_response","response_time","response_time_study_response","response_time_test_response","stim","studyResultId","total_responses","workerId","stimtype","st_corr","test_quality","rt_corr","DTPPm","DTPPsd"
"905",74,61,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",1096,1182,1096,"p3d4_4.png",164,137,354,"D4",1,"new",1,0,0
"906",74,62,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",820,1182,820,"p4d1_2.png",164,138,354,"D1",1,"fam",1,0,0
"907",74,63,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",696,1182,696,"p2d2_2.png",164,139,354,"D2",1,"fam",0,0,0
"908",74,64,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",1122,1182,1122,"p4d4_3.png",164,140,354,"D4",1,"new",0,0,0
"909",74,65,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",1589,1182,1589,"p3d1_1.png",164,141,354,"D1",1,"fam",0,0,0
"910",74,66,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",962,1182,962,"p8d4_1.png",164,142,354,"D5",1,"fam",0,0,0
"911",74,67,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",704,1182,704,"p3d2_4.png",164,143,354,"D2",1,"new",0,0,0
"912",74,68,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",1961,1182,1961,"p4d4_4.png",164,144,354,"D4",1,"new",1,0,0
"913",74,69,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",1423,1182,1423,"p10d4_1.png",164,145,354,"D5",1,"fam",1,0,0
"914",74,70,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",953,1182,953,"p3d3_1.png",164,146,354,"D3",1,"fam",1,0,0
"915",74,71,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",928,1182,928,"p3d3_3.png",164,147,354,"D3",1,"new",1,0,0
"916",74,72,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",676,1182,676,"p4d3_2.png",164,148,354,"D3",1,"fam",1,0,0
"917",74,73,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",1126,1182,1126,"p6d4_4.png",164,149,354,"D5",1,"new",0,0,0
"918",74,74,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",770,1182,770,"p4d2_1.png",164,150,354,"D2",1,"fam",0,0,0
"919",74,75,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",770,1182,770,"p3d4_1.png",164,151,354,"D4",1,"fam",0,0,0
"920",74,76,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",827,1182,827,"p5d4_2.png",164,152,354,"D4",1,"fam",1,0,0
"921",74,77,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",951,1182,951,"p1d1_4.png",164,153,354,"D1",1,"new",0,0,0
"922",74,78,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",1364,1182,1364,"p5d3_4.png",164,154,354,"D3",1,"new",0,0,0
"923",74,79,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",747,1182,747,"p1d2_3.png",164,155,354,"D2",1,"new",1,0,0
"924",74,80,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",1421,1182,1421,"p5d1_3.png",164,156,354,"D1",1,"new",0,0,0
"925",74,81,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",1157,1182,1157,"p8d4_4.png",164,157,354,"D5",1,"new",0,0,0
"926",74,82,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",760,1182,760,"p5d2_2.png",164,158,354,"D2",1,"fam",1,0,0
"927",74,83,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",697,1182,697,"p5d1_4.png",164,159,354,"D1",1,"new",1,0,0
"928",74,84,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",1288,1182,1288,"p1d4_4.png",164,160,354,"D4",1,"new",0,0,0
"929",74,85,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",1262,1182,1262,"p1d3_4.png",164,161,354,"D3",1,"new",1,0,0
"930",74,86,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",777,1182,777,"p1d1_1.png",164,162,354,"D1",1,"fam",1,0,0
"931",74,87,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",827,1182,827,"p9d4_3.png",164,163,354,"D5",1,"new",1,0,0
"932",74,88,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",1246,1182,1246,"p5d4_3.png",164,164,354,"D4",1,"new",0,0,0
"933",74,89,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",1087,1182,1087,"p4d4_2.png",164,165,354,"D4",1,"fam",1,0,0
"934",74,90,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",939,1182,939,"p2d3_1.png",164,166,354,"D3",1,"fam",0,0,0
"935",74,91,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",855,1182,855,"p3d3_2.png",164,167,354,"D3",1,"fam",0,0,0
"936",74,92,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",722,1182,722,"p1d4_3.png",164,168,354,"D4",1,"new",0,0,0
"937",74,93,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",889,1182,889,"p4d3_3.png",164,169,354,"D3",1,"new",0,0,0
"938",74,94,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",1210,1182,1210,"p1d4_1.png",164,170,354,"D4",1,"fam",0,0,0
"939",74,95,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",685,1182,685,"p1d3_3.png",164,171,354,"D3",1,"new",1,0,0
"940",74,96,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",828,1182,828,"p4d3_4.png",164,172,354,"D3",1,"new",1,0,0
"941",74,97,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","right","right","right",619,1182,619,"p2d4_1.png",164,173,354,"D4",1,"fam",0,0,0
"942",74,98,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",1197,1182,1197,"p4d2_3.png",164,174,354,"D2",1,"new",0,0,0
"943",74,99,"Fri Oct 30 2020 15:30:05 GMT+0100 (CET)","left","right","left",1051,1182,1051,"p2d4_3.png",164,175,354,"D4",1,"new",0,0,0
"944",0,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",2755,2755,NA,"prototype1.png",163,1,346,"prototype",1,NA,NA,0,0
"945",1,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",1931,1931,NA,"prototype1.png",163,2,346,"prototype",1,NA,NA,0,0
"946",2,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",836,836,NA,"p9d4_1.png",163,3,346,"D5",1,NA,NA,0,0
"947",3,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1216,1216,NA,"p4d3_1.png",163,4,346,"D3",1,NA,NA,0,0
"948",4,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","None","None","",3013,3013,NA,"p1d1_1.png",163,5,346,"D1",NA,NA,NA,0,0
"949",5,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",756,756,NA,"p2d4_1.png",163,6,346,"D4",1,NA,NA,0,0
"950",6,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",692,692,NA,"p8d4_2.png",163,7,346,"D5",1,NA,NA,17.9375,5.6221767108249
"951",7,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",1902,1902,NA,"p5d1_2.png",163,8,346,"D1",0,NA,NA,0,0
"952",8,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",1129,1129,NA,"prototype2.png",163,9,346,"prototype",1,NA,NA,0,0
"953",9,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1007,1007,NA,"p1d2_1.png",163,10,346,"D2",1,NA,NA,0,0
"954",10,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",2133,2133,NA,"p5d3_1.png",163,11,346,"D3",1,NA,NA,0,0
"955",11,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","None","None","",3001,3001,NA,"prototype5.png",163,12,346,"prototype",NA,NA,NA,0,0
"956",12,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1167,1167,NA,"p2d3_2.png",163,13,346,"D3",1,NA,NA,0,0
"957",13,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1375,1375,NA,"p4d4_2.png",163,14,346,"D4",1,NA,NA,0,0
"958",14,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1755,1755,NA,"prototype1.png",163,15,346,"prototype",0,NA,NA,0,0
"959",15,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",1033,1033,NA,"prototype2.png",163,16,346,"prototype",1,NA,NA,0,0
"960",16,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1088,1088,NA,"p3d2_1.png",163,17,346,"D2",1,NA,NA,0,0
"961",17,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1826,1826,NA,"prototype1.png",163,18,346,"prototype",0,NA,NA,0,0
"962",18,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","None","None","",3008,3008,NA,"prototype3.png",163,19,346,"prototype",NA,NA,NA,0,0
"963",19,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",1677,1677,NA,"p1d4_2.png",163,20,346,"D4",0,NA,NA,0,0
"964",20,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",960,960,NA,"p3d3_2.png",163,21,346,"D3",1,NA,NA,0,0
"965",21,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",993,993,NA,"p9d4_2.png",163,22,346,"D5",1,NA,NA,0,0
"966",22,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1828,1828,NA,"p2d2_1.png",163,23,346,"D2",1,NA,NA,0,0
"967",23,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",1068,1068,NA,"prototype4.png",163,24,346,"prototype",1,NA,NA,0,0
"968",24,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1115,1115,NA,"p5d3_2.png",163,25,346,"D3",1,NA,NA,0,0
"969",25,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",895,895,NA,"p8d4_1.png",163,26,346,"D5",1,NA,NA,0,0
"970",26,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",706,706,NA,"prototype4.png",163,27,346,"prototype",1,NA,NA,0,0
"971",27,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1346,1346,NA,"prototype5.png",163,28,346,"prototype",0,NA,NA,0,0
"972",28,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",1984,1984,NA,"p4d2_2.png",163,29,346,"D2",0,NA,NA,0,0
"973",29,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1333,1333,NA,"p4d3_2.png",163,30,346,"D3",1,NA,NA,0,0
"974",30,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1006,1006,NA,"p1d2_2.png",163,31,346,"D2",1,NA,NA,0,0
"975",31,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1047,1047,NA,"p5d4_2.png",163,32,346,"D4",1,NA,NA,0,0
"976",32,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1024,1024,NA,"p7d4_1.png",163,33,346,"D5",1,NA,NA,0,0
"977",33,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",954,954,NA,"p7d4_2.png",163,34,346,"D5",1,NA,NA,0,0
"978",34,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1871,1871,NA,"p2d2_2.png",163,35,346,"D2",1,NA,NA,0,0
"979",35,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1552,1552,NA,"p2d1_2.png",163,36,346,"D1",1,NA,NA,0,0
"980",36,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1188,1188,NA,"prototype3.png",163,37,346,"prototype",0,NA,NA,0,0
"981",37,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",723,723,NA,"p3d4_1.png",163,38,346,"D4",1,NA,NA,0,0
"982",38,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",635,635,NA,"prototype4.png",163,39,346,"prototype",1,NA,NA,0,0
"983",39,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1064,1064,NA,"p3d4_2.png",163,40,346,"D4",1,NA,NA,0,0
"984",40,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1509,1509,NA,"prototype5.png",163,41,346,"prototype",0,NA,NA,0,0
"985",41,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1007,1007,NA,"p1d4_1.png",163,42,346,"D4",1,NA,NA,0,0
"986",42,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",599,599,NA,"prototype4.png",163,43,346,"prototype",1,NA,NA,0,0
"987",43,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",1157,1157,NA,"prototype2.png",163,44,346,"prototype",1,NA,NA,0,0
"988",44,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",727,727,NA,"p5d4_1.png",163,45,346,"D4",1,NA,NA,0,0
"989",45,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",974,974,NA,"p3d1_2.png",163,46,346,"D1",1,NA,NA,0,0
"990",46,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",657,657,NA,"p3d1_1.png",163,47,346,"D1",1,NA,NA,0,0
"991",47,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",767,767,NA,"prototype4.png",163,48,346,"prototype",1,NA,NA,0,0
"992",48,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",985,985,NA,"prototype5.png",163,49,346,"prototype",0,NA,NA,0,0
"993",49,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1827,1827,NA,"p5d2_1.png",163,50,346,"D2",1,NA,NA,0,0
"994",50,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",1803,1803,NA,"prototype5.png",163,51,346,"prototype",1,NA,NA,0,0
"995",51,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1666,1666,NA,"p5d2_2.png",163,52,346,"D2",1,NA,NA,0,0
"996",52,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1444,1444,NA,"prototype3.png",163,53,346,"prototype",0,NA,NA,0,0
"997",53,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1622,1622,NA,"p5d1_1.png",163,54,346,"D1",1,NA,NA,0,0
"998",54,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","None","None","",3008,3008,NA,"prototype1.png",163,55,346,"prototype",NA,NA,NA,0,0
"999",55,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1230,1230,NA,"prototype3.png",163,56,346,"prototype",0,NA,NA,0,0
"1000",56,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",756,756,NA,"p1d1_2.png",163,57,346,"D1",1,NA,NA,0,0
"1001",57,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",985,985,NA,"p1d3_1.png",163,58,346,"D3",1,NA,NA,0,0
"1002",58,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",771,771,NA,"p4d4_1.png",163,59,346,"D4",1,NA,NA,0,0
"1003",59,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1497,1497,NA,"p1d3_2.png",163,60,346,"D3",1,NA,NA,0,0
"1004",60,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",667,667,NA,"p10d4_2.png",163,61,346,"D5",1,NA,NA,0,0
"1005",61,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1061,1061,NA,"p2d4_2.png",163,62,346,"D4",1,NA,NA,0,0
"1006",62,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1638,1638,NA,"p4d1_1.png",163,63,346,"D1",1,NA,NA,0,0
"1007",63,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",719,719,NA,"p6d4_1.png",163,64,346,"D5",1,NA,NA,0,0
"1008",64,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",810,810,NA,"p3d3_1.png",163,65,346,"D3",1,NA,NA,0,0
"1009",65,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1089,1089,NA,"p4d2_1.png",163,66,346,"D2",1,NA,NA,0,0
"1010",66,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",2638,2638,NA,"p2d1_1.png",163,67,346,"D1",1,NA,NA,0,0
"1011",67,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",899,899,NA,"prototype3.png",163,68,346,"prototype",0,NA,NA,0,0
"1012",68,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",1636,1636,NA,"prototype2.png",163,69,346,"prototype",1,NA,NA,0,0
"1013",69,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",674,674,NA,"p6d4_2.png",163,70,346,"D5",1,NA,NA,0,0
"1014",70,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","left","",1058,1058,NA,"prototype2.png",163,71,346,"prototype",1,NA,NA,0,0
"1015",71,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",631,631,NA,"p4d1_2.png",163,72,346,"D1",1,NA,NA,0,0
"1016",72,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1190,1190,NA,"p3d2_2.png",163,73,346,"D2",1,NA,NA,0,0
"1017",73,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",667,667,NA,"p10d4_1.png",163,74,346,"D5",1,NA,NA,0,0
"1018",74,NA,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","",1233,1233,NA,"p2d3_1.png",163,75,346,"D3",1,NA,NA,0,0
"1019",74,0,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","None","right","None",3015,1233,3015,"p5d2_3.png",163,76,346,"D2",1,"new",NA,0,0
"1020",74,1,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",890,1233,890,"p2d4_2.png",163,77,346,"D4",1,"fam",1,0,0
"1021",74,2,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",1354,1233,1354,"p8d4_1.png",163,78,346,"D5",1,"fam",0,0,0
"1022",74,3,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",891,1233,891,"p10d4_1.png",163,79,346,"D5",1,"fam",0,0,0
"1023",74,4,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",821,1233,821,"p4d3_3.png",163,80,346,"D3",1,"new",0,0,0
"1024",74,5,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",909,1233,909,"p10d4_2.png",163,81,346,"D5",1,"fam",0,0,0
"1025",74,6,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",693,1233,693,"p5d3_2.png",163,82,346,"D3",1,"fam",1,0,0
"1026",74,7,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",2526,1233,2526,"p6d4_4.png",163,83,346,"D5",1,"new",1,0,0
"1027",74,8,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",2016,1233,2016,"p9d4_1.png",163,84,346,"D5",1,"fam",0,0,0
"1028",74,9,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",1985,1233,1985,"p8d4_4.png",163,85,346,"D5",1,"new",1,0,0
"1029",74,10,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","None","right","None",3012,1233,3012,"p4d3_4.png",163,86,346,"D3",1,"new",NA,0,0
"1030",74,11,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","None","right","None",3009,1233,3009,"p1d2_4.png",163,87,346,"D2",1,"new",NA,0,0
"1031",74,12,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",1946,1233,1946,"p5d1_4.png",163,88,346,"D1",1,"new",1,0,0
"1032",74,13,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",881,1233,881,"p3d2_4.png",163,89,346,"D2",1,"new",0,0,0
"1033",74,14,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",1250,1233,1250,"p4d3_1.png",163,90,346,"D3",1,"fam",0,0,0
"1034",74,15,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",512,1233,512,"p8d4_2.png",163,91,346,"D5",1,"fam",1,0,0
"1035",74,16,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",1440,1233,1440,"p2d3_2.png",163,92,346,"D3",1,"fam",1,0,0
"1036",74,17,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",1180,1233,1180,"p3d2_3.png",163,93,346,"D2",1,"new",1,0,0
"1037",74,18,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",1148,1233,1148,"p1d4_2.png",163,94,346,"D4",1,"fam",1,0,0
"1038",74,19,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",885,1233,885,"p5d3_4.png",163,95,346,"D3",1,"new",1,0,0
"1039",74,20,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",1190,1233,1190,"p2d2_4.png",163,96,346,"D2",1,"new",1,0,0
"1040",74,21,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",1208,1233,1208,"p1d3_1.png",163,97,346,"D3",1,"fam",0,0,0
"1041",74,22,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",1121,1233,1121,"p8d4_3.png",163,98,346,"D5",1,"new",0,0,0
"1042",74,23,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",651,1233,651,"p2d1_4.png",163,99,346,"D1",1,"new",0,0,0
"1043",74,24,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",1834,1233,1834,"p2d2_2.png",163,100,346,"D2",1,"fam",0,0,0
"1044",74,25,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",1072,1233,1072,"p7d4_2.png",163,101,346,"D5",1,"fam",0,0,0
"1045",74,26,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",977,1233,977,"p1d2_2.png",163,102,346,"D2",1,"fam",1,0,0
"1046",74,27,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","None","right","None",3004,1233,3004,"p4d4_1.png",163,103,346,"D4",1,"fam",NA,0,0
"1047",74,28,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",1140,1233,1140,"p3d1_2.png",163,104,346,"D1",1,"fam",1,0,0
"1048",74,29,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",1275,1233,1275,"p3d2_1.png",163,105,346,"D2",1,"fam",1,0,0
"1049",74,30,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",855,1233,855,"p5d4_3.png",163,106,346,"D4",1,"new",0,0,0
"1050",74,31,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",1582,1233,1582,"p1d1_4.png",163,107,346,"D1",1,"new",0,0,0
"1051",74,32,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",1042,1233,1042,"p7d4_3.png",163,108,346,"D5",1,"new",0,0,0
"1052",74,33,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",957,1233,957,"p6d4_1.png",163,109,346,"D5",1,"fam",0,0,0
"1053",74,34,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",2951,1233,2951,"p1d3_2.png",163,110,346,"D3",1,"fam",0,0,0
"1054",74,35,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",1256,1233,1256,"p4d1_4.png",163,111,346,"D1",1,"new",1,0,0
"1055",74,36,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",1011,1233,1011,"p5d2_1.png",163,112,346,"D2",1,"fam",1,0,0
"1056",74,37,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","right","right","right",2168,1233,2168,"p5d1_3.png",163,113,346,"D1",1,"new",1,0,0
"1057",74,38,"Fri Oct 30 2020 13:30:13 GMT+0100 (közép-európai téli idõ)","left","right","left",1823,1233,1823,"p4d1_3.png",163,114,346,"D1",1,"new",0,0,0
