"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_prestudy_sequence","count_study_response","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_study_response","response_test_response","response_time_study_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
"7322",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,32,"25-03-23","19:46:32","d0d5vp",1334,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","left",966,1666,0,1682444847894,"p3sarrsha4.png","sarrsha","new"
"7323",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,33,"25-03-23","19:46:32","d0d5vp",1505,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1495,0,1682444847894,"p3sarr1.png","sarr","old"
"7324",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,34,"25-03-23","19:46:32","d0d5vp",0,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","None",966,3006,0,1682444847894,"p2sarrsha3.png","sarrsha","new"
"7325",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,35,"25-03-23","19:46:32","d0d5vp",345,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","down",966,2655,0,1682444847894,"p9sarr3.png","diffarr","new"
"7326",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,36,"25-03-23","19:46:32","d0d5vp",1546,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1454,0,1682444847894,"p4sarrcol1.png","sarrcol","old"
"7327",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,37,"25-03-23","19:46:32","d0d5vp",1258,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","left",966,1742,0,1682444847894,"p3sarr3.png","sarr","new"
"7328",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,38,"25-03-23","19:46:32","d0d5vp",250,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,2750,0,1682444847894,"p2sarr3.png","sarr","new"
"7329",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,39,"25-03-23","19:46:32","d0d5vp",1349,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","down",966,1651,0,1682444847894,"p4sarr2.png","sarr","old"
"7330",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,40,"25-03-23","19:46:32","d0d5vp",563,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,2437,0,1682444847894,"p2sarrshacol3.png","sarrshacol","new"
"7331",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,41,"25-03-23","19:46:32","d0d5vp",1442,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",966,1558,0,1682444847894,"p2sarrcol2.png","sarrcol","old"
