"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_prestudy_sequence","count_study_response","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_study_response","response_test_response","response_time_study_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,42,NA,"17-10-23","13:30:52","nkmjus",1842,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1158,NA,0,1700224293955,"p2sarrsha2.png","sarrsha","study"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,43,NA,"17-10-23","13:30:52","nkmjus",1896,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",1104,NA,0,1700224293955,"p9sarr1.png","diffarr","study"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,44,NA,"17-10-23","13:30:52","nkmjus",616,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",2384,NA,0,1700224293955,"p4sarrshacol2.png","sarrshacol","study"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,45,NA,"17-10-23","13:30:52","nkmjus",740,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",2260,NA,0,1700224293955,"p3sarrcol2.png","sarrcol","study"
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,46,NA,"17-10-23","13:30:52","nkmjus",1505,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",1495,NA,0,1700224293955,"p6sarr2.png","diffarr","study"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,47,NA,"17-10-23","13:30:52","nkmjus",2117,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",883,NA,0,1700224293955,"p4sarrsha2.png","sarrsha","study"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,48,NA,"17-10-23","13:30:52","nkmjus",2015,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",985,NA,0,1700224293955,"p6sarr1.png","diffarr","study"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,49,NA,"17-10-23","13:30:52","nkmjus",2236,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",764,NA,0,1700224293955,"p4sarr1.png","sarr","study"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,50,NA,"17-10-23","13:30:52","nkmjus",2096,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"left","",904,NA,0,1700224293955,"prototype2.png","prototype","study"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,51,NA,"17-10-23","13:30:52","nkmjus",2148,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","",852,NA,0,1700224293955,"prototype3.png","prototype","study"
